model,table,line,columns,keys,relationships,indexes,constraints
AuditLog,audit_logs,576,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | actor_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | actor_username: Column(String, nullable=True) | actor_role: Column(String, nullable=True) | action: Column(String, nullable=False) | target_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | target_username: Column(String, nullable=True) | description: Column(Text, nullable=False) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True) | metadata_json: Column(Text, nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | actor_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | target_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, business_id, business_day_id",none declared in ORM
AccountActionRequest,account_action_requests,599,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | target_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | target_username: Column(String, nullable=False) | target_position: Column(String, nullable=True) | action: Column(String, nullable=False) | requested_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | requested_by_name: Column(String, nullable=True) | requested_by_position: Column(String, nullable=True) | status: Column(String, default='PENDING', nullable=False, index=True) | resolved_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | resolved_by_name: Column(String, nullable=True) | resolved_at: Column(SQLDateTime, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | target_user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | requested_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | resolved_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)",none declared,"id, business_id, status",none declared in ORM
SessionRevocation,session_revocations,618,"id: Column(Integer, primary_key=True, index=True) | jti: Column(String, unique=True, index=True, nullable=False) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=True) | expires_at: Column(SQLDateTime, nullable=False) | revoked_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=True)",none declared,"id, jti",UNIQUE(jti)
RefreshSession,refresh_sessions,626,"id: Column(Integer, primary_key=True, index=True) | token_hash: Column(String, unique=True, index=True, nullable=False) | user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | expires_at: Column(SQLDateTime, nullable=False) | revoked_at: Column(SQLDateTime, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | replaced_by_hash: Column(String, nullable=True)","id: Column(Integer, primary_key=True, index=True) | user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, token_hash, business_id",UNIQUE(token_hash)
AuthFailure,auth_failures,637,"id: Column(Integer, primary_key=True, index=True) | scope: Column(String, index=True, nullable=False) | key_hash: Column(String, index=True, nullable=False) | failures: Column(Integer, default=0, nullable=False) | window_started_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | locked_until: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True)",none declared,"id, scope, key_hash",none declared in ORM
PasswordRecovery,password_recoveries,646,"id: Column(Integer, primary_key=True, index=True) | recovery_id: Column(String, unique=True, index=True, nullable=False) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=False) | channel: Column(String, nullable=False) | code_hash: Column(String, nullable=False) | expires_at: Column(SQLDateTime, nullable=False) | resend_after: Column(SQLDateTime, nullable=False) | attempts: Column(Integer, default=0, nullable=False) | used: Column(Boolean, default=False, nullable=False) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=False)",none declared,"id, recovery_id",UNIQUE(recovery_id)
PresenceSession,presence_sessions,659,"id: Column(Integer, primary_key=True, index=True) | session_id: Column(String, unique=True, index=True, nullable=False) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=False) | signed_in_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | last_seen_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | signed_out_at: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | user_id: Column(Integer, ForeignKey('users.id', ondelete='CASCADE'), nullable=False)",none declared,"id, session_id",UNIQUE(session_id)
PriceMonitorSource,price_monitor_sources,669,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | supplier_id: Column(Integer, ForeignKey('suppliers.id', ondelete='SET NULL'), nullable=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True) | source_type: Column(String, nullable=False) | source_url: Column(String, nullable=True) | last_price: Column(Float, nullable=True) | last_checked_at: Column(SQLDateTime, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | supplier_id: Column(Integer, ForeignKey('suppliers.id', ondelete='SET NULL'), nullable=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True)",none declared,id,none declared in ORM
PriceHistory,price_history,681,"id: Column(Integer, primary_key=True, index=True) | source_id: Column(Integer, ForeignKey('price_monitor_sources.id', ondelete='CASCADE'), nullable=False) | price: Column(Float, nullable=False) | recorded_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | source_id: Column(Integer, ForeignKey('price_monitor_sources.id', ondelete='CASCADE'), nullable=False)",none declared,id,none declared in ORM
BusinessBrainPrediction,business_brain_predictions,692,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | kind: Column(String, nullable=False, default='velocity') | forecast_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False, index=True) | target_at: Column(SQLDateTime, nullable=False, index=True) | horizon_days: Column(Integer, nullable=False, default=7) | predicted_units: Column(Float, nullable=False) | confidence: Column(Float, nullable=False) | evidence_json: Column(Text, nullable=False, default='{}') | model_version: Column(String, nullable=False, default='brain-v1') | actual_units: Column(Float, nullable=True) | accuracy_score: Column(Float, nullable=True) | evaluated_at: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, business_id, product_id, forecast_at, target_at",none declared in ORM
