method,path,line,function,auth,roles,request_model,response_shape,db_tables_touched_static,external_integration,frontend_callers,coverage_status
DELETE,/purchase-orders,5357,delete_all_pos,AUTHENTICATED,admin,query/path params or none,dynamic JSON/HTML/FileResponse,"purchase_orders, users",none detected in handler,index.html:25888 (loadPurchaseOrders),NOT TESTED
GET,/purchase-orders/,5307,get_purchase_orders,AUTHENTICATED,staff,query/path params or none,dynamic JSON/HTML/FileResponse,"purchase_orders, suppliers, users",none detected in handler,index.html:25888 (loadPurchaseOrders),NOT TESTED
POST,/purchase-orders/generate,5322,generate_po,AUTHENTICATED,staff,query/path params or none,dynamic JSON/HTML/FileResponse,"business_profile, products, purchase_orders, users",none detected in handler,index.html:25868 (generatePOs); index.html:25990 (editPurchaseOrder); index.html:26010 (deletePurchaseOrder); index.html:26027 (confirmDeleteAllPurchaseOrders),NOT TESTED
DELETE,/purchase-orders/{po_id},5349,delete_po,AUTHENTICATED,staff,po_id:int,dynamic JSON/HTML/FileResponse,"purchase_orders, users",none detected in handler,index.html:25868 (generatePOs); index.html:25990 (editPurchaseOrder); index.html:26010 (deletePurchaseOrder); index.html:26027 (confirmDeleteAllPurchaseOrders),NOT TESTED
PUT,/purchase-orders/{po_id},5338,update_po_draft,AUTHENTICATED,staff,po_id:int; update:PODraftUpdate,dynamic JSON/HTML/FileResponse,"purchase_orders, users",none detected in handler,index.html:25868 (generatePOs); index.html:25990 (editPurchaseOrder); index.html:26010 (deletePurchaseOrder); index.html:26027 (confirmDeleteAllPurchaseOrders),NOT TESTED
POST,/purchase-orders/{po_id}/dispatch,5363,dispatch_po,AUTHENTICATED,staff,po_id:int,dynamic JSON/HTML/FileResponse,"purchase_orders, suppliers, users",none detected in handler,none statically matched,NOT TESTED
POST,/purchase-orders/{po_id}/dispatch-email,5375,dispatch_po_email,AUTHENTICATED,staff,po_id:int,dynamic JSON/HTML/FileResponse,"purchase_orders, suppliers, users",none detected in handler,none statically matched,NOT TESTED
GET,/sales/analytics,5689,sales_analytics,AUTHENTICATED,any authenticated,query/path params or none,dynamic JSON/HTML/FileResponse,"business_days, users",none detected in handler,index.html:23156 (renderSalesChart),PARTIALLY TESTED
POST,/sales/checkout,5409,sales_checkout,AUTHENTICATED,"admin,manager,staff",payload:SalesCheckoutRequest,dynamic JSON/HTML/FileResponse,"business_days, products, sales, users, warehouse_stocks, warehouses",none detected in handler,index.html:22712 (completePOSCheckout),PARTIALLY TESTED
GET,/sales/current-day,5477,current_sales_day,AUTHENTICATED,any authenticated,query/path params or none,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:22865 (loadBusinessDayControl),PARTIALLY TESTED
POST,/sales/end-business-day,5739,end_business_day,AUTHENTICATED,"admin,manager,staff",query/path params or none,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:22957 (openBusinessDayHeaderClose),PARTIALLY TESTED
GET,/sales/export,5661,export_sales_csv,AUTHENTICATED,staff,period:str; custom_start:Optional[str]; custom_end:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, users",none detected in handler,none statically matched,NOT TESTED
GET,/sales/export/xlsx,5675,export_sales_xlsx,AUTHENTICATED,staff,period:str; custom_start:Optional[str]; custom_end:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, users",none detected in handler,none statically matched,NOT TESTED
GET,/sales/history,5554,sales_history,AUTHENTICATED,staff,period:str; custom_start:Optional[str]; custom_end:Optional[str],dynamic JSON/HTML/FileResponse,"business_days, business_profile, expenses, sales, users",none detected in handler,index.html:23343 (loadSalesHistory),PARTIALLY TESTED
